订购日期,所属区域,产品类别,数量,销售额,成本
10/22/2007,常熟,睡袋,250,"90,776.14 ","51,653.00 "
11/27/2007,常熟,睡袋,250,"64,421.78 ","35,987.82 "
12/12/2007,常熟,睡袋,250,"59,541.34 ","31,113.18 "
7/16/2007,苏州,睡袋,300,"48,023.51 ","28,736.90 "
9/14/2007,苏州,睡袋,400,"44,665.76 ","26,832.53 "
5/24/2007,无锡,服装,200,"24,987.84 ","15,567.91 "
10/19/2007,常熟,彩盒,130,"6,548.10 ","5,336.20 "
11/20/2007,常熟,彩盒,400,"7,893.03 ","7,182.64 "
1/24/2007,常熟,宠物用品,8,"5,026.62 ","4,666.41 "
2/13/2007,常熟,宠物用品,8,"5,026.62 ","4,896.76 "
3/21/2007,常熟,宠物用品,8,"5,430.17 ","5,026.07 "
1/29/2007,无锡,彩盒,8,"5,430.17 ","5,024.32 "
12/29/2007,无锡,睡袋,8,"5,136.41 ","4,587.58 "
9/5/2007,无锡,暖靴,8,"5,507.32 ","4,995.40 "
5/31/2007,苏州,宠物用品,8,"5,964.29 ","5,409.09 "
11/30/2007,苏州,警告标,8,"6,403.45 ","5,924.89 "
12/12/2007,苏州,警告标,50,"21,253.33 ","21,583.72 "
9/6/2007,无锡,彩盒,50,"22,588.62 ","22,168.17 "
6/22/2007,无锡,警告标,110,"49,694.96 ","48,686.33 "
8/22/2007,无锡,警告标,130,"63,070.09 ","64,076.70 "
10/16/2007,无锡,警告标,110,"53,367.00 ","54,266.52 "
3/14/2007,无锡,暖靴,40,"15,073.91 ","15,047.35 "
12/29/2007,无锡,暖靴,40,"15,073.91 ","15,053.04 "
11/15/2007,无锡,暖靴,30,"12,128.86 ","12,130.92 "
7/19/2007,昆山,睡袋,30,"9,547.31 ","9,959.43 "
8/22/2007,昆山,睡袋,30,"9,547.31 ","9,959.43 "
9/18/2007,昆山,睡袋,30,"10,237.21 ","10,582.10 "
10/22/2007,昆山,睡袋,90,"56,549.43 ","52,872.78 "
11/27/2007,昆山,睡袋,90,"56,549.43 ","55,102.09 "
